Motor Name,Kv,Max Watts,Max RPM,Timing,Switching Frequency,Poles,Idle Current,__Idle Voltage,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Link,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,Predicted Diam,Diam_pred,,1,Length_pred,,,,,Rm_pred,error%,residuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05-10S,4200,35,35000,20-25,,12,0.5,,300,8,15,17,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a05-10s/,255,4335,1071000,18207000,0.028571429,2.938020072E+01,35,5.49239E-08,32.71458133,2.823910210E+04,3.541189081E-05,,,3.100479439E+02,0.033493146,1.004794385E+01,,,1.25779E+16,,Kv,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
A05-13S,3200,35,35000,20-25,,12,0.3,,400,8,15,17,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a05-13s/,255,4335,816000,13872000,0.028571429,2.938020072E+01,35,7.20877E-08,32.71458133,2.823910210E+04,3.541189081E-05,,,3.100479439E+02,-0.22488014,-8.995205615E+01,,,-2.72742E+11,,Diam,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
A10-12S,2900,55,25000,20-25,8-16,12,1,,185,15,21,21,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a10-12s/,441,9261,1278900,26856900,0.018181818,2.963010284E+01,55,3.72344E-08,33.40960801,2.933173130E+04,3.409277106E-05,,,2.724442844E+02,0.472671808,8.744428444E+01,,,1886231.1,,Length,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
A10-15S,2320,55,25000,20-25,,12,0.63,,289,15,21,21,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a10-15s/,441,9261,1023120,21485520,0.018181818,2.963010284E+01,55,4.6543E-08,33.40960801,2.933173130E+04,3.409277106E-05,,,2.724442844E+02,-0.057286213,-1.655571556E+01,,,26.73199527,,Watts,0,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,
A10-13L,1200,90,25000,20-25,,12,0.39,,280,20,25,21,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a10-13l/,525,11025,630000,13230000,0.011111111,3.006664804E+01,90,7.55858E-08,34.58182128,3.126208140E+04,3.198763343E-05,,,2.196699256E+02,-0.215464551,-6.033007442E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7L,2200,75,25000,20-25,,12,1.1,,110,20,25,21,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a10-7l/,525,11025,1155000,24255000,0.013333333,2.987967935E+01,75,4.12286E-08,34.08614116,3.043194450E+04,3.286020714E-05,,,2.404996648E+02,1.186360589,1.304996648E+02,,,,,Global,-1,-0.831,,,,,,,,,,,,,,,,,,,,,,,,,
A10-9L,1700,90,25000,20-25,,12,0.72,,180,20,25,21,2,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a10-9l/,525,11025,892500,18742500,0.011111111,3.006664804E+01,90,5.33547E-08,34.58182128,3.126208140E+04,3.198763343E-05,,,2.196699256E+02,0.220388475,3.966992558E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-34 S EVO,1500,140,30000,20-25,,14,0.75,,147,24,29,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-34-s-evo/,812,22736,1218000,34104000,0.007142857,3.068855420E+01,140,2.93221E-08,36.16529154,3.406001440E+04,2.935994061E-05,,,1.653326487E+02,0.124711896,1.833264872E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-50 S EVO,1088,120,30000,20-25,,14,0.4,,232,24,29,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-50-s-evo/,812,22736,883456,24736768,0.008333333,3.044003595E+01,120,4.04257E-08,35.54425091,3.293515320E+04,3.036269465E-05,,,1.846331513E+02,-0.204167451,-4.736684874E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-26 M EVO,1130,170,30000,20-25,,14,0.7,,117,30,42,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-26-m-evo/,1176,32928,1328880,37208640,0.005882353,3.106072104E+01,170,2.68755E-08,37.06747289,3.576152620E+04,2.796301238E-05,,,1.412281147E+02,0.207077903,2.422811466E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-30 M EVO,980,170,30000,20-25,,14,0.6,,174,30,42,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-30-m-evo/,1176,32928,1152480,32269440,0.005882353,3.106072104E+01,170,3.09891E-08,37.06747289,3.576152620E+04,2.796301238E-05,,,1.412281147E+02,-0.188344169,-3.277188534E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-12 L 10 pole EVO,2100,250,30000,20-25,,10,2,,30,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-12-l-10-pole-evo/,952,26656,1999200,55977600,0.004,3.204958417E+01,250,1.78643E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,2.239667813,6.719003439E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-20 L EVO,1022,250,30000,20-25,,14,0.85,,109,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-20-l-evo/,952,26656,972944,27242432,0.004,3.204958417E+01,250,3.67074E-08,39.31392582,4.038231500E+04,2.476331533E-05,,,9.719003439E+01,-0.108348308,-1.180996561E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-22 L EVO,924,240,30000,20-25,,14,0.75,,89,50,34,28,3,https://hackermotorusa.com/shop/hacker-brushless-motors/outrunners/a20-22-l-evo/,952,26656,879648,24630144,0.004166667,3.192626120E+01,240,4.06007E-08,39.04505152,3.979808040E+04,2.512684004E-05,,,1.014649005E+02,0.140055062,1.246490055E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
