Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A05-10S,4200,35,35000,12,0.5,300,8,15,17,2,255,4335,1071000,18207000,0,,14,3.5,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05-13S,3200,35,35000,12,0.3,400,8,15,17,2,255,4335,816000,13872000,0,,31,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-12S,2900,55,25000,12,1,185,15,21,21,2,441,9261,1278900,26856900,0,,,1,,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-15S,2320,55,25000,12,0.63,289,15,21,21,2,441,9261,1023120,21485520,0,,,-0.5,,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,-0.5,-0.75,-1,-0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-13L,1200,90,25000,12,0.39,280,20,25,21,2,525,11025,630000,13230000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-7L,2200,75,25000,12,1.1,110,20,25,21,2,525,11025,1155000,24255000,1.14256E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10-9L,1700,90,25000,12,0.72,180,20,25,21,2,525,11025,892500,18742500,1.61973E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-34 S EVO,1500,140,30000,14,0.75,147,24,29,28,3,812,22736,1218000,34104000,7.66062E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-50 S EVO,1088,120,30000,14,0.4,232,24,29,28,3,812,22736,883456,24736768,9.77806E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-26 M EVO,1130,170,30000,14,0.7,117,30,42,28,3,1176,32928,1328880,37208640,3.06519E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-30 M EVO,980,170,30000,14,0.6,174,30,42,28,3,1176,32928,1152480,32269440,3.53435E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-12 L 10 pole EVO,2100,250,30000,10,2,30,50,34,28,3,952,26656,1999200,55977600,4.19043E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20-20 L EVO,1022,250,30000,14,0.85,109,50,34,28,3,952,26656,972944,27242432,8.61047E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
