Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,x,1/resistance
Hacker USA,A05-10S,4200,35,35000,12,0.5,300,8,15,17,0.009961784,0.003333333
Hacker USA,A05-13S,3200,35,35000,12,0.3,400,8,15,17,0.11633447,0.0025
Hacker USA,A10-12S,2900,55,25000,12,1,185,15,21,21,0.105686741,0.005405405
Hacker USA,A10-15S,2320,55,25000,12,0.63,289,15,21,21,0.103354527,0.003460208
Hacker USA,A10-13L,1200,90,25000,12,0.39,280,20,25,21,0.115191264,0.003571429
Hacker USA,A10-7L,2200,75,25000,12,1.1,110,20,25,21,0.122389367,0.009090909
Hacker USA,A10-9L,1700,90,25000,12,0.72,180,20,25,21,0.119274145,0.005555556
Hacker USA,A20-34 S EVO,1500,140,30000,14,0.75,147,24,29,28,0.076858351,0.006802721
Hacker USA,A20-50 S EVO,1088,120,30000,14,0.4,232,24,29,28,0.074429453,0.004310345
Hacker USA,A20-26 M EVO,1130,170,30000,14,0.7,117,30,42,28,0.108203441,0.008547009
Hacker USA,A20-30 M EVO,980,170,30000,14,0.6,174,30,42,28,0.106673326,0.005747126
Hacker USA,A20-12 L 10 pole EVO,2100,250,30000,10,2,30,50,34,28,0.09319332,0.033333333
Hacker USA,A20-20 L EVO,1022,250,30000,14,0.85,109,50,34,28,0.086717739,0.009174312
Hacker USA,A20-22 L EVO,924,240,30000,14,0.75,89,50,34,28,0.085847974,0.011235955
Hacker USA,A20-12 XL EVO,1039,300,30000,10,1.2,75,78,40,28,0.102189314,0.013333333
Hacker USA,A20-6 XL 10 pole EVO,2500,400,30000,10,3.4,20,78,40,28,0.111567559,0.05
Hacker USA,A20-6 XL 8 pole EVO,3500,400,30000,8,3.4,14,78,40,28,0.115385366,0.071428571
Hacker USA,A20-8XL EVO,1500,350,30000,10,2.6,26,78,40,28,0.106011518,0.038461538
Hacker USA,A20-33 S V3,1440,300,20000,14,1.4,41,70,28,37,0.042324402,0.024390244
Hacker USA,A30-28 S V3,1140,300,20000,14,1.1,68,70,28,37,0.041347101,0.014705882
