Company,Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,,,
Hacker USA,A05-10S,4200,35,35000,12,0.5,300,8,15,17,4.42746E-05,,-1
Hacker USA,A10-12S,2900,55,25000,12,1,185,15,21,21,0.000239652,,-2
Hacker USA,A10-15S,2320,55,25000,12,0.63,289,15,21,21,0.000234364,,0.1
Hacker USA,A10-13L,1200,90,25000,12,0.39,280,20,25,21,0.000184306,,
Hacker USA,A10-7L,2200,75,25000,12,1.1,110,20,25,21,0.000195823,,
Hacker USA,A10-9L,1700,90,25000,12,0.72,180,20,25,21,0.000190839,,
Hacker USA,A20-34 S EVO,1500,140,30000,14,0.75,147,24,29,28,9.13892E-05,,
Hacker USA,A20-50 S EVO,1088,120,30000,14,0.4,232,24,29,28,8.85011E-05,,
Hacker USA,A20-26 M EVO,1130,170,30000,14,0.7,117,30,42,28,6.13398E-05,,
Hacker USA,A20-30 M EVO,980,170,30000,14,0.6,174,30,42,28,6.04724E-05,,
Hacker USA,A20-12 L 10 pole EVO,2100,250,30000,10,2,30,50,34,28,8.06171E-05,,
Hacker USA,A20-20 L EVO,1022,250,30000,14,0.85,109,50,34,28,7.50153E-05,,
Hacker USA,A20-22 L EVO,924,240,30000,14,0.75,89,50,34,28,7.4263E-05,,
Hacker USA,A20-12 XL EVO,1039,300,30000,10,1.2,75,78,40,28,6.38683E-05,,
Hacker USA,A20-6 XL 10 pole EVO,2500,400,30000,10,3.4,20,78,40,28,6.97297E-05,,
Hacker USA,A20-6 XL 8 pole EVO,3500,400,30000,8,3.4,14,78,40,28,7.21159E-05,,
Hacker USA,A20-8XL EVO,1500,350,30000,10,2.6,26,78,40,28,6.62572E-05,,
Hacker USA,A20-33 S V3,1440,300,20000,14,1.4,41,70,28,37,5.39852E-05,,
Hacker USA,A30-28 S V3,1140,300,20000,14,1.1,68,70,28,37,5.27386E-05,,
Hacker USA,A30-42S-UAV,850,250,20000,14,0.6,140,89,28,37,5.1213E-05,,
Hacker USA,A30-42S-UAV,850,250,20000,14,0.6,140,89,28,37,5.1213E-05,,
Hacker USA,A30-52S-UAV,680,250,20000,14,0.4,220,89,28,37,5.00829E-05,,
Hacker USA,A30-12 M V3,1370,400,18000,14,2.2,22,104,34,37,4.42374E-05,,
Hacker USA,A30-14 M V2,3600,500,45000,6,3.1,19,104,34,35,5.44522E-05,,
Hacker USA,A30-16 M V3,1060,400,18000,14,1.6,38,104,34,37,4.3117E-05,,
Hacker USA,A30-18 M V2,2900,500,45000,6,1.8,31,104,34,35,5.32874E-05,,
Hacker USA,A30-24M-UAV,680,350,20000,14,0.9,80,134,34,37,4.12447E-05,,
Hacker USA,A30-30M-UAV,550,350,20000,14,0.7,100,134,34,37,4.03788E-05,,
Hacker USA,A30-10 L V3,1185,500,16000,14,2.3,23,143,40,37.2,3.66628E-05,,
Hacker USA,A30-12 L V2 6 pole,2800,750,45000,6,2.8,16,125,39,35,4.6293E-05,,
Hacker USA,A30-12 L V3,1000,500,16000,14,1.8,30,143,40,37.2,3.60458E-05,,
Hacker USA,A30-14 L V3,800,500,16000,14,1.6,36,143,40,37.2,3.52503E-05,,
Hacker USA,A30-18L-UAV,680,500,,14,1,50,170,40,37,3.5058E-05,,
Hacker USA,A30-28L-UAV,450,500,,14,0.6,120,170,40,37,3.36401E-05,,
Hacker USA,A30-10 XL V3,900,650,15000,14,1.9,24,177,46,37.2,3.10156E-05,,
Hacker USA,A30-12 XL V3,700,650,15000,14,1.5,34,177,46,37.2,3.02459E-05,,
Hacker USA,A30-8 XL V3,1100,650,15000,14,2.8,15,177,46,37.2,3.16443E-05,,
Hacker USA,A40-10S V2 14 pole,750,900,,14,2.8,12,208,42,41.7,2.65451E-05,,
Hacker USA,A40-10S V2 8 pole,1600,900,,8,2.6,14,208,42,41.7,2.86346E-05,,
Hacker USA,A40-12S V2 8 pole,1350,900,,8,1.9,17,208,42,41.7,2.81522E-05,,
Hacker USA,A40-16S V2 8 pole,1000,900,,8,1.3,30,208,42,41.7,2.73199E-05,,
Hacker USA,A40-10L V2 14 pole,500,1100,,14,1.7,18,272,52,41.7,2.05884E-05,,
Hacker USA,A40-10L V2 8 pole,1100,1100,,8,1.7,19,272,52,41.7,2.22774E-05,,
Hacker USA,A40-12L V2 14 pole,410,1100,,14,1.5,25,272,52,41.7,2.01838E-05,,
Hacker USA,A40-14L V2 14 pole,355,1100,,14,1.1,32,272,52,41.7,1.98952E-05,,
Hacker USA,A40-8L V2 8 pole,1300,1100,,8,2.5,14,272,52,41.7,2.26526E-05,,
Hacker USA,A40-14S V2 14 pole,530,900,,14,1.4,21,208,42,41.7,2.56393E-05,,
Hacker USA,A50-14 XS V3,520,1100,12000,14,1.5,18,289,47,48.7,1.67666E-05,,
Hacker USA,A50-12 S V4,480,1250,12000,14,1.8,16,345,52,48.7,1.50336E-05,,
Hacker USA,A50-14 S V3,425,1250,12000,14,1.5,21,345,52,48.7,1.48517E-05,,
Hacker USA,A50-16 S V3,365,1250,12000,14,1.4,26,345,52,48.7,1.46274E-05,,
Hacker USA,A50-6S Turnado V3,1100,2800,,10,5.1,7,348,51,51.5,1.48921E-05,,
Hacker USA,A50-8S Turnado V3,850,2800,,10,4.1,9,348,51,51.5,1.4513E-05,,
Hacker USA,A50-10L Turnado V3,530,4500,,10,1.9,15,455,61,51.5,1.1574E-05,,
Hacker USA,A50-12 L V3,355,1650,9000,14,1.5,21,445,62,48.7,1.22341E-05,,
Hacker USA,A50-14 L V3,300,1650,9000,14,1,25,445,62,48.7,1.20299E-05,,
Hacker USA,A50-14L Turnado V3,400,4500,,10,1.1,26,455,61,51.5,1.12528E-05,,
Hacker USA,A50-16 L V3,265,1650,9000,14,1,31,445,62,48.7,1.18816E-05,,
Hacker USA,A50-12L Turnado V3,450,4500,,10,1.2,19,455,61,51.5,1.13862E-05,,
Hacker USA,A60-5XS V4 28 pole,420,1900,9000,28,2.4,12,480,60,52,1.12763E-05,,
Hacker USA,A60-6XS V4 28 pole,270,1900,9000,28,2.4,12,480,60,52,1.07889E-05,,
Hacker USA,A60-7XS V4 28 pole,320,2800,9000,28,2.4,12,480,60,52,1.09738E-05,,
Hacker USA,A60-5S V4 28 pole,295,2700,7000,28,1.7,15,595,65,60,7.54686E-06,,
Hacker USA,A60-7S V4 28 pole,215,3400,7000,28,1.7,15,595,65,60,7.31186E-06,,
Hacker USA,A60-7S V2 28 pole,215,2100,7000,28,1.2,26,595,65,60,7.31186E-06,,
Hacker USA,A60-8S V4 28 pole,188,2800,7000,28,1.7,15,595,65,60,7.2144E-06,,
Hacker USA,A60-20S V2 28 Pole,245,1900,7000,28,1.7,27,595,60,60,8.02533E-06,,
Hacker USA,A60-22S V2 28 pole,217,1900,7000,28,1.5,30,595,60,60,7.92852E-06,,
Hacker USA,A60-24S V2 28 pole,195,1900,7000,28,1.3,38,595,60,60,7.84422E-06,,
Hacker USA,A60-16M V4 14 pole,215,3400,7000,14,1.7,15,750,75.2,60,6.32009E-06,,
Hacker USA,A60-16 M,215,2200,7000,12,1.9,22,760,70,59,7.02169E-06,,
Hacker USA,A60-18M V4 14 pole,190,3200,7000,14,1,29,750,75.2,60,6.24245E-06,,
Hacker USA,A60-18 M,190,2200,7000,12,1.8,27,760,70,59,6.93543E-06,,
Hacker USA,A60-20 M,170,2200,7000,12,1.7,32,760,70,59,6.85872E-06,,
Hacker USA,A60-20M V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,6.1734E-06,,
Hacker USA,A60-14L V4 14 pole,170,2400,7000,14,0.97,36,750,75.2,60,6.1734E-06,,
Hacker USA,A60-14 L,192,3000,7000,12,2.5,16,910,80,59,6.07486E-06,,
Hacker USA,A60-16L V4 14 pole,168,3200,7000,14,1.3,27,905,85.2,60,5.44238E-06,,
Hacker USA,A60-16 L,168,3000,7000,12,1.8,18,910,80,59,5.99428E-06,,
Hacker USA,A60-18L V4 14 pole,149,3300,7000,14,1.21,34,905,85.2,60,5.37745E-06,,
Hacker USA,A60-18 L,149,3000,7000,12,1.6,20,910,80,59,5.92277E-06,,
Hacker USA,Q80-13XS F3A,225,2800,9000,28,1,24,520,65,88.5,3.37612E-06,,
Hacker USA,Q80-14XS F3A,209,2800,9000,28,0.9,25,520,65,88.5,3.35131E-06,,
Hacker USA,Q80-11S 28 pole,205,3000,9000,28,1.1,20,630,69,88.5,3.15094E-06,,
Hacker USA,Q80-13S 20 pole F3A,215,3000,9000,20,1.3,29,610,69,88.5,3.16598E-06,,
Hacker USA,Q80-13S 28 pole,175,3000,9000,28,0.9,29,610,69,88.5,3.10147E-06,,
Hacker USA,Q80-7M V2,210,5500,9000,28,1.6,10,1035,79.3,88.5,2.74829E-06,,
Hacker USA,Q80-8M V2,180,5500,9000,28,1.6,13,1035,79.3,88.5,2.70625E-06,,
Hacker USA,Q80-11M V2,135,5500,7500,28,1,21,1035,79.3,88.5,2.6295E-06,,
Hacker USA,Q80-5L V2,215,7000,9000,28,2.4,7,1255,89.3,88.5,2.44628E-06,,
Hacker USA,Q80-6L V2,180,7000,9000,28,1.8,9,1255,89.3,88.5,2.4032E-06,,
Hacker USA,Q80-7L V2,155,7000,9000,28,1.7,12,1255,89.3,88.5,2.36753E-06,,
Hacker USA,Q100-6M,168,9300,,28,3.16,49,1830,95.5,113,1.3689E-06,,
Hacker USA,Q100-7M,140,9500,,28,2.68,66,1830,95.5,113,1.34416E-06,,
Hacker USA,Q100-8M,126,8800,,28,2.23,86,1830,95.5,113,1.33008E-06,,
Hacker USA,Q100-9M,110,7100,,28,1.86,106,1830,95.5,113,1.31214E-06,,
Hacker USA,Q100-5L,137,7100,,28,3.16,53,2300,107.5,113,1.19153E-06,,
Hacker USA,A100-10,150,7000,8000,20,2.5,16,1900,110,109,1.26288E-06,,
Hacker USA,A150-10,133,9000,8000,20,3.3,20,2100,114,109,1.204E-06,,
Hacker USA,A150-8,166,9000,8000,20,3.6,15,2100,114,109,1.23099E-06,,
Axi,AXI 2808/16 GOLD LINE V2 LONG,1820,170,,,2,75,85,39,35,4.43411E-05,,
Axi,,1490,256,,,1.2,105,85,39,35,4.34628E-05,,
Axi,AXI 2808/24 GOLD LINE V2 LONG,1190,232,,,1,115,85,39,35,4.24966E-05,,
Axi,,1820,170,,,2,75,77,31.5,35,5.48985E-05,,
Axi,AXI 2808/20 GOLD LINE V2,1490,256,,,1.3,105,77,31.5,35,5.38111E-05,,
Axi,,1190,232,,,1,115,77,31.5,35,5.26148E-05,,
Axi,AXI 2814/10 GOLD LINE V2 LONG,1640,460,,,2.2,37,115,45,35,3.80308E-05,,
Axi,,1390,360,,,1.7,53,115,45,35,3.7407E-05,,
Axi,AXI 2814/16 GOLD LINE V2 LONG,1035,325,,,1,85,115,45,35,3.632E-05,,
Axi,,840,355,,,0.6,145,115,45,35,3.55696E-05,,
